para,GBR_date_test,GBR_date_train,GBR_test,GBR_train,RandomForest_date_test,RandomForest_date_train,RandomForest_test,RandomForest_train
10.0,32256.090012482626,30259.537063119697,31780.738556614226,28698.729992721797,27945.334053763436,16962.341717253523,25699.63538709678,12267.569028169015
20.0,30612.21422226801,26813.73256936712,27254.34279243355,22263.93168805843,27972.242073598307,15739.95941276828,26471.4091935484,11799.445919014091
30.0,30062.750908051028,24928.182278834607,25495.144146100032,18461.318870598356,27361.859528712237,15420.870230773538,25796.384392473126,11273.772077464793
40.0,30029.942223282054,23750.2591824311,25514.643052092495,15811.828384115006,27482.13596575461,15239.366385550815,25652.988358870974,11136.12438380282
50.0,30340.88554112031,23144.809567282515,25666.37585723205,13814.567187879586,27441.654688202758,15223.271842008726,25469.8171387097,10948.357052112686
60.0,30590.60139842351,22475.793813826836,25168.25839444147,12307.974495397517,27375.325736136714,15004.077452534655,25470.50347311829,10885.171369718322
70.0,30825.474671922533,21689.62366476588,25049.542599654586,11139.904546363932,27597.736425674786,14923.984143302678,25352.06450460831,10856.254920523152
80.0,31051.749497120527,20952.444713265526,25729.90562727683,10279.76112135657,27450.343233386135,14876.270097587612,25466.11808064518,10798.738308978887
90.0,31220.033451767,20502.81367090614,26077.60169926774,9315.033043796973,27229.318992818728,14741.115248898946,25329.437695340504,10660.136035211273
100.0,31189.80133495581,20144.255161374746,25537.313358940013,8385.514101538503,27363.11062875191,14837.78602084004,25467.579245161283,10662.295711971836
