para,GBR_date_test,GBR_date_train,GBR_test,GBR_train,RandomForest_date_test,RandomForest_date_train,RandomForest_test,RandomForest_train
10.0,32256.090012482626,30259.537063119697,31220.92928727382,28018.124483775704,27945.334053763436,16962.341717253523,26269.44711290324,11974.73320422536
120.0,31218.71114737853,19549.723644604142,23532.99126561021,6142.327072848382,27404.709169233207,14757.02531552788,24140.626396505384,10687.836178403762
230.0,31220.339184645043,17350.065045450723,24304.479618795987,1871.8587162281008,27215.471575060074,14764.636021670576,24590.436485273516,10486.510816901422
340.0,31326.8799103667,15485.464414217231,24370.35355092732,660.1128979034459,27231.486290043547,14661.09183970442,24449.802599620558,10533.32428997508
450.0,31846.59757486123,13880.744237473704,24509.24800650203,254.23019237005525,27202.833931753667,14582.044364869236,24547.998613620093,10454.282393270676
560.0,31807.125775365505,13010.817767909177,25144.86453296966,100.37435840650049,27258.668769250602,14545.636456268929,24501.06771745388,10496.144859783702
670.0,32388.502830858524,12466.669771088122,24766.34960141473,39.613242478412666,27421.64565951403,14547.887056790092,24552.523054405297,10397.79622388065
780.0,32601.41119291955,11939.194832143365,24890.264362148555,16.08387118312728,27312.58717389119,14572.361451567192,24527.237995243886,10406.704391928582
890.0,32759.369972534172,11558.123054190015,24166.473749756013,6.523213847625376,27315.33657926864,14523.216108438142,24548.341501087216,10405.807991137912
1000.0,32801.2649011449,11255.311387864318,25303.366144981283,2.6616376302078772,27317.33067357863,14536.810850223235,24607.259055806346,10413.565865211332
