para,GBR_date_test,GBR_date_train,GBR_test,GBR_train,RandomForest_date_test,RandomForest_date_train,RandomForest_test,RandomForest_train
1.0,39611.35331830465,38975.253514075914,40031.24739960137,38860.844736978695,29694.285483870986,16646.46147887324,36900.35709677422,14930.764999999992
3.0,36770.26643079176,35882.043759616296,37433.70462698989,35882.7364350607,27110.341792114694,17541.04994131456,31349.11930107528,14145.615985915496
5.0,35123.361359650495,33889.71175809176,35264.81803829147,33787.20849686178,27679.51990752688,17056.422963615027,27955.80638709678,12680.086647887327
7.0,33631.73653700432,32107.104731002815,33422.18340480558,31726.10552421544,27344.49203533026,17396.07329996647,25217.37032258065,12836.63212273642
9.0,32604.316931814123,30913.516175733297,32330.793842062358,29710.825100123166,27710.672401433694,16898.251553338552,26197.62396057348,12130.615743348984
11.0,31913.842499936432,29808.718359536975,30996.06248104266,27730.27256768888,28825.442128194387,16749.984316002076,27213.272551319664,12078.295256081949
13.0,31304.59994103157,28866.374638572684,30265.74525423405,26456.931024504378,28228.09418911733,16455.790332391785,27656.001079404483,12168.911711809322
15.0,31071.615603191214,28142.070648002056,29296.878429270597,24841.17126241838,28352.63705691244,16008.115171640957,27675.260978494633,11816.876737089206
17.0,30869.523810904197,27504.287534398998,28181.094200198615,23697.866511542048,28295.875230482514,15761.004581163454,27176.148377609115,11663.59442833472
19.0,30661.495939980658,26988.46591192213,27976.001033263707,22633.01838364914,28066.750777811467,15761.859315145262,26437.60298811546,11623.902461082289
21.0,30676.813213277055,26635.84443317249,27513.739270632246,21897.710106258863,27850.766369376783,15686.447738853758,26200.32424731184,11511.251187122745
23.0,30519.65152380269,26114.36336642113,26230.51575322588,21102.032852956218,27668.522000651174,15577.374851682564,25669.75075736326,11145.967333129216
25.0,30323.375538540215,25791.374276555707,26153.743174178166,20239.18704668589,27743.597716712757,15582.76888702214,25860.775825806468,11240.99014647888
27.0,30056.13460325337,25362.184067501556,26114.02605735709,19586.28277984165,27426.667975450873,15570.813300885566,25620.81158303466,11151.782055294738
