para,GBR_date_test,GBR_date_train,GBR_test,GBR_train,RandomForest_date_test,RandomForest_date_train,RandomForest_test,RandomForest_train
29.0,30053.953832438714,25037.036657113476,26058.340915882058,18738.368303458723,27567.442538044925,15651.867725375247,25637.296357063417,11279.246129188932
31.0,29968.935880565183,24743.142237559776,26233.86230395779,18229.49618644526,27407.04016479609,15424.743209699063,25764.810535900106,11236.299666060886
33.0,29807.855064911277,24457.280035481435,26888.695807269283,17613.459165674663,27402.154375238562,15436.055659395774,25786.01416422288,11128.077981220664
35.0,29894.5477241641,24323.371499300203,25462.116250650983,17268.859570893408,27582.60822199913,15330.745069402135,25875.125161290336,11127.260515090547
37.0,30100.893696632014,24119.440159680555,25563.577114088344,16598.84380329654,27482.374830748955,15274.24924786105,25834.086556233666,11243.470812714124
39.0,29960.10103366197,23809.505904729904,25460.27686158575,16120.294365245652,27417.65510411005,15292.385384602492,25591.21425971879,11192.579687612859
41.0,30028.88729786828,23667.42948824044,25394.511036883276,15552.875625026241,27427.18726648495,15208.712454470733,25758.53413060583,11043.067227756788
43.0,29974.188839562015,23550.824385302913,25375.608291677177,15060.734172977416,27561.371856437312,15213.248455742216,25881.574313578396,11007.261072715368
45.0,30023.116627644253,23363.24789390279,25612.446253739214,14723.790638979366,27395.659822316095,15172.762957239744,25452.26995340503,10938.74550704226
47.0,30155.6482273207,23259.06274057781,25729.334054710653,14209.082024529414,27388.15589971238,15159.180533902005,25361.4906451613,10837.0114429128
49.0,30326.815188656776,23185.321169650564,24803.887782951486,13916.192490389125,27460.012117103983,15227.21716272808,25401.513038183024,10950.781760563385
51.0,30372.419337546526,23095.562867733533,25396.624337881873,13655.021582986772,27620.247244390233,15205.629899649537,25388.309361163836,10869.836322839004
53.0,30337.439457848497,22949.343660263286,25177.333355661558,13284.927606868741,27685.250520672114,15201.956348427044,25467.192023737076,11001.11599521659
55.0,30409.848468212444,22869.837062631777,25592.44255386658,13119.005235571582,27709.278430868595,15115.20101450217,25597.894577712617,10950.385710627412
57.0,30378.08629923232,22796.548759771846,24867.42830535947,12748.908187953946,27479.535450130697,15092.683941799927,25468.870229202046,10884.029521868059
59.0,30595.203383729484,22602.040317491017,25468.479296537847,12389.762664820677,27424.037368077796,15016.11607920688,25498.95695462002,10888.190317498218
61.0,30594.166574867442,22408.428040296607,24927.822603973513,12264.34692391704,27327.3045712397,14996.726217455005,25468.415616076163,10867.846764026794
63.0,30507.497068669818,22340.037111800662,25241.726676509705,11991.803936092567,27421.267805963955,15064.405849794535,25414.799961597553,10881.50516320144
65.0,30691.94059594185,22115.83588464081,24708.685576656117,11626.917345786487,27524.556087203113,15034.272130039213,25405.472111662544,10788.881284940422
67.0,30733.685441704627,21894.06833398736,25671.613530063347,11506.288813026891,27559.889668374715,14984.83526822878,25454.104287433816,10851.831023754477
69.0,30878.87062282024,21693.57753092671,24670.45579458465,11209.033604195864,27613.05394283043,14981.05403392821,25392.572192613392,10849.810336803439
71.0,30829.589756154914,21641.91683589055,25574.85274314085,11028.369481520735,27588.139504186405,14938.834419205372,25433.406233530233,10837.650936322168
73.0,30894.39015442789,21457.79152579877,25430.424579435756,10834.52630554207,27446.219801906445,14946.367436435969,25301.548201502454,10844.39676056339
75.0,30873.32656527983,21263.898288432338,26039.12949150965,10716.711316557234,27448.19750242191,14939.069274860276,25280.340812903236,10801.699326760576
77.0,30897.54800383765,21219.386970914416,25795.335236247243,10501.914774038763,27454.45979812776,14924.941409084378,25347.791805613753,10829.554091823678
79.0,30964.009132766554,21024.888711018993,25826.971092351552,10375.190073323362,27447.124860064367,14897.15363629244,25441.949164965303,10833.021794437522
81.0,31166.769401537033,20896.78230525192,25680.928401489095,10067.29209141883,27407.497534367823,14859.402968926732,25442.154619673453,10782.90659015824
83.0,31092.348758990345,20869.39062217507,25761.341176781872,9806.877191787737,27402.43406359539,14824.44042959969,25471.541954916458,10734.194805701687
85.0,31133.58087317476,20753.540394827774,25146.471768383464,9591.772320368747,27347.68935697568,14754.5631680692,25353.05606451614,10733.87446975974
87.0,31211.666376400917,20671.78298864265,25797.380447666255,9495.171128172029,27285.506124631414,14792.872429463756,25454.906355209492,10735.560211267613
89.0,31257.77070753767,20555.94380369378,25880.57301777048,9407.633353488809,27208.0206261197,14743.014608793206,25361.190086988045,10687.52190140846
91.0,31266.5010129013,20477.341341014846,26039.86158511921,9195.217871100256,27206.663132741673,14775.503395186133,25387.534638426096,10646.00505107569
93.0,31239.822994275008,20403.635318352874,25689.03218614102,8884.986422118473,27329.930618267168,14753.567158306467,25463.480078043696,10675.019875814032
95.0,31236.902989316317,20363.37246769665,26182.490365788617,8749.120251404762,27332.552676558316,14761.095635601321,25313.769358234298,10662.371936249081
97.0,31224.450090859747,20328.97468796735,25721.557007045332,8592.791417672679,27366.80435427256,14797.961918052988,25429.118064516122,10659.369515754322
100.0,31189.385350794375,20144.25516137475,25587.1937559738,8385.514101538503,27363.11062875191,14837.78602084004,25467.579245161283,10662.295711971836
